tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
76,62515.731618,0.0259,40.0,0,40.0,62515.731618,0.0197,40.0,0,40.0,24.06,0.00
77,5834.411765,0.0206,5.0,0,5.0,5834.411765,0.0192,5.0,0,5.0,6.94,0.00
78,63447.992647,0.0216,40.0,0,40.0,63447.992647,0.0201,40.0,0,40.0,7.08,0.00
79,7915.257353,0.0206,34.0,0,34.0,7915.257353,0.0180,34.0,0,34.0,12.29,0.00
80,30858.970588,0.0196,41.0,0,41.0,30858.970588,0.0201,41.0,0,41.0,-2.18,0.00
81,67836.183824,0.0258,39.0,0,39.0,67836.183824,0.0195,39.0,0,39.0,24.14,0.00
82,11222.408088,0.0202,13.0,0,13.0,11222.408088,0.0209,13.0,0,13.0,-3.29,0.00
83,7192.849265,0.0188,31.0,0,31.0,7192.849265,0.0191,31.0,0,31.0,-1.62,0.00
84,22704.250000,0.0188,20.0,0,20.0,22704.250000,0.0254,20.0,0,20.0,-35.42,0.00
85,14321.136029,0.0181,37.0,0,37.0,14321.136029,0.0210,37.0,0,37.0,-15.80,0.00
86,4838.970588,0.0198,18.0,0,18.0,4838.970588,0.0200,18.0,0,18.0,-1.39,0.00
87,12344.323529,0.0195,16.0,0,16.0,12344.323529,0.0200,16.0,0,16.0,-2.59,0.00
88,38163.466912,0.0199,8.0,0,8.0,38163.466912,0.0202,8.0,0,8.0,-1.28,0.00
89,19699.566176,0.0193,21.0,0,21.0,19699.566176,0.0198,21.0,0,21.0,-2.43,0.00
90,23387.253676,0.0207,20.0,0,20.0,23387.253676,0.0200,20.0,0,20.0,3.29,0.00
91,15512.569853,0.0201,17.0,0,17.0,15512.569853,0.0210,17.0,0,17.0,-4.35,0.00
92,89751.003676,0.0190,41.0,0,41.0,89751.003676,0.0213,41.0,0,41.0,-12.22,0.00
93,3413.878676,0.0196,33.0,0,33.0,3413.878676,0.0206,33.0,0,33.0,-5.18,0.00
94,894.231618,0.0187,35.0,0,35.0,894.231618,0.0206,35.0,0,35.0,-10.65,0.00
95,855.985294,0.0190,36.0,0,36.0,855.985294,0.0203,36.0,0,36.0,-6.83,0.00
96,51893.805147,0.0199,41.0,0,41.0,51893.805147,0.0221,41.0,0,41.0,-11.12,0.00
97,15653.636029,0.0186,21.0,0,21.0,15653.636029,0.0206,21.0,0,21.0,-10.70,0.00
98,42232.753676,0.0200,26.0,0,26.0,42232.753676,0.0210,26.0,0,26.0,-5.07,0.00
99,71395.397059,0.0219,32.0,0,32.0,71395.397059,0.0221,32.0,0,32.0,-0.77,0.00
100,189942.441176,0.0200,16.0,0,16.0,189942.441176,0.0193,16.0,0,16.0,3.69,0.00
101,4763.547794,0.0188,32.0,0,32.0,4763.547794,0.0202,32.0,0,32.0,-7.24,0.00
102,61349.628676,0.0195,40.0,0,40.0,61349.628676,0.0197,40.0,0,40.0,-0.92,0.00
103,163518.591912,0.0199,7.0,0,7.0,163518.591912,0.0223,7.0,0,7.0,-12.24,0.00
104,70159.275735,0.0268,40.0,0,40.0,70159.275735,0.0198,40.0,0,40.0,26.14,0.00
105,15656.147059,0.0184,15.0,0,15.0,15656.147059,0.0216,15.0,0,15.0,-17.63,0.00
106,17206.849265,0.0200,12.0,0,12.0,17206.849265,0.0191,12.0,0,12.0,4.80,0.00
107,88127.566176,0.0213,40.0,0,40.0,88127.566176,0.0221,40.0,0,40.0,-3.38,0.00
108,38260.794118,0.0239,38.0,0,38.0,38260.794118,0.0190,38.0,0,38.0,20.32,0.00
109,4424.400735,0.0197,32.0,0,32.0,4424.400735,0.0196,32.0,0,32.0,0.80,0.00
110,19011.790441,0.0200,17.0,0,17.0,19011.790441,0.0201,17.0,0,17.0,-0.44,0.00
111,10072.933824,0.0197,30.0,0,30.0,10072.933824,0.0204,30.0,0,30.0,-3.56,0.00
112,17937.797794,0.0204,17.0,0,17.0,17937.797794,0.0195,17.0,0,17.0,4.10,0.00
113,18000.393382,0.0200,16.0,0,16.0,18000.393382,0.0201,16.0,0,16.0,-0.55,0.00
114,40442.665441,0.0201,7.0,0,7.0,40442.665441,0.0196,7.0,0,7.0,2.50,0.00
115,19654.007353,0.0198,17.0,0,17.0,19654.007353,0.0205,17.0,0,17.0,-3.43,0.00
116,47848.966912,0.0206,39.0,0,39.0,47848.966912,0.0200,39.0,0,39.0,2.66,0.00
117,69191.533088,0.0198,7.0,0,7.0,69191.533088,0.0209,7.0,0,7.0,-5.91,0.00
118,1885.522059,0.0194,34.0,0,34.0,1885.522059,0.0192,34.0,0,34.0,1.07,0.00
119,9081.937500,0.0249,17.0,0,17.0,9081.937500,0.0212,17.0,0,17.0,14.82,0.00
120,16799.055147,0.0189,18.0,0,18.0,16799.055147,0.0196,18.0,0,18.0,-3.51,0.00
121,15578.882353,0.0212,41.0,0,41.0,15578.882353,0.0187,41.0,0,41.0,11.83,0.00
122,19110.110294,0.0205,15.0,0,15.0,19110.110294,0.0300,15.0,0,15.0,-46.58,0.00
123,10262.731618,0.0209,7.0,0,7.0,10262.731618,0.0201,7.0,0,7.0,3.70,0.00
124,9797.573529,0.0217,7.0,0,7.0,9797.573529,0.0218,7.0,0,7.0,-0.54,0.00
125,28346.801471,0.0195,41.0,0,41.0,28346.801471,0.0212,41.0,0,41.0,-8.89,0.00
126,42024.334559,0.0274,8.0,0,8.0,42024.334559,0.0212,8.0,0,8.0,22.83,0.00
127,18252.647059,0.0274,27.0,0,27.0,18252.647059,0.0200,27.0,0,27.0,26.82,0.00
128,51542.873162,0.0189,59.0,0,59.0,51542.873162,0.0203,59.0,0,59.0,-7.55,0.00
129,44494.102941,0.0200,26.0,0,26.0,44494.102941,0.0221,26.0,0,26.0,-10.58,0.00
130,44201.836397,0.0256,73.0,0,73.0,44201.836397,0.0220,73.0,0,73.0,13.99,0.00
131,23083.408088,0.0206,34.0,0,34.0,23083.408088,0.0199,34.0,0,34.0,3.24,0.00
132,172025.900735,0.0229,7.0,0,7.0,172025.900735,0.0199,7.0,0,7.0,13.24,0.00
133,41456.687500,0.0296,23.0,0,23.0,41456.687500,0.0208,23.0,0,23.0,29.82,0.00
134,111548.312500,0.0264,73.0,0,73.0,111548.312500,0.0216,73.0,0,73.0,18.11,0.00
135,43481.838235,0.0217,23.0,0,23.0,43481.838235,0.0194,23.0,0,23.0,10.30,0.00
136,925.216912,0.0190,19.0,0,19.0,925.216912,0.0205,19.0,0,19.0,-7.38,0.00
137,117752.400735,0.0211,29.0,0,29.0,117752.400735,0.0238,29.0,0,29.0,-12.83,0.00
138,46803.091912,0.0214,41.0,0,41.0,46803.091912,0.0192,41.0,0,41.0,10.45,0.00
139,69676.551471,0.0233,34.0,0,34.0,69676.551471,0.0210,34.0,0,34.0,9.75,0.00
140,45563.117647,0.0223,39.0,0,39.0,45563.117647,0.0230,39.0,0,39.0,-3.20,0.00
141,97059.474265,0.0219,37.0,0,37.0,97059.474265,0.0206,37.0,0,37.0,6.11,0.00
142,23824.033088,0.0198,39.0,0,39.0,23824.033088,0.0198,39.0,0,39.0,0.05,0.00
143,87019.926471,0.0263,39.0,0,39.0,87019.926471,0.0199,39.0,0,39.0,24.25,0.00
144,59371.279412,0.0211,39.0,0,39.0,59371.279412,0.0202,39.0,0,39.0,4.26,0.00
145,66445.261029,0.0201,39.0,0,39.0,66445.261029,0.0224,39.0,0,39.0,-11.23,0.00
146,39300.025735,0.0205,38.0,0,38.0,39300.025735,0.0194,38.0,0,38.0,5.35,0.00
147,1095.154412,0.0194,39.0,0,39.0,1095.154412,0.0201,39.0,0,39.0,-3.59,0.00
148,13212.775735,0.0210,20.0,0,20.0,13212.775735,0.0194,20.0,0,20.0,7.27,0.00
149,37862.452206,0.0198,41.0,0,41.0,37862.452206,0.0213,41.0,0,41.0,-7.94,0.00
150,34192.091912,0.0195,8.0,0,8.0,34192.091912,0.0211,8.0,0,8.0,-8.11,0.00
151,65732.893382,0.0253,39.0,0,39.0,65732.893382,0.0200,39.0,0,39.0,21.19,0.00
152,7191.433824,0.0216,34.0,0,34.0,7191.433824,0.0200,34.0,0,34.0,7.21,0.00
153,58377.194853,0.0207,40.0,0,40.0,58377.194853,0.0213,40.0,0,40.0,-2.81,0.00
