tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
217,16741.783088,0.0218,31.0,16741.783088,0.0256,31.0,16741.783088,0.0252,31.0,16741.783088,0.0258,31.0,-17.50,-15.50,-18.23
218,29176.738971,0.0191,20.0,29176.738971,0.0187,20.0,29176.738971,0.0225,20.0,29176.738971,0.0296,20.0,2.19,-17.72,-55.18
219,15032.683824,0.0217,24.0,15032.683824,0.0195,24.0,15032.683824,0.0217,24.0,15032.683824,0.0265,24.0,10.25,-0.14,-22.05
220,1634.375000,0.0197,11.0,1634.375000,0.0190,11.0,1634.375000,0.0238,11.0,1634.375000,0.0259,11.0,3.77,-20.72,-31.32
221,27574.220588,0.0212,20.0,27574.220588,0.0195,20.0,27574.220588,0.0258,20.0,27574.220588,0.0327,20.0,8.08,-22.01,-54.61
222,3036.393382,0.0207,8.0,3036.393382,0.0185,8.0,3036.393382,0.0242,8.0,3036.393382,0.0272,8.0,10.75,-16.66,-31.37
223,5536.209559,0.0219,7.0,5536.209559,0.0200,7.0,5536.209559,0.0221,7.0,5536.209559,0.0320,7.0,8.69,-0.67,-46.13
224,20425.352941,0.0264,20.0,20425.352941,0.0219,20.0,20425.352941,0.0235,20.0,20425.352941,0.0231,20.0,17.21,11.17,12.77
225,45975.007353,0.0219,24.0,45975.007353,0.0241,24.0,45975.007353,0.0241,24.0,45975.007353,0.0234,24.0,-9.75,-10.14,-6.75
226,34525.621324,0.0243,19.0,34525.621324,0.0299,19.0,34525.621324,0.0227,19.0,34525.621324,0.0235,19.0,-22.86,6.90,3.24
227,49430.783088,0.0272,25.0,49430.783088,0.0230,25.0,49430.783088,0.0245,25.0,49430.783088,0.0269,25.0,15.44,10.17,1.36
228,25948.194853,0.0283,6.0,25948.194853,0.0202,6.0,25948.194853,0.0217,6.0,25948.194853,0.0297,6.0,28.56,23.23,-4.93
229,4949.025735,0.0236,32.0,4949.025735,0.0203,32.0,4949.025735,0.0241,32.0,4949.025735,0.0270,32.0,13.98,-2.35,-14.43
230,19846.580882,0.0213,2.0,19846.580882,0.0226,2.0,19846.580882,0.0231,2.0,19846.580882,0.0311,2.0,-6.10,-8.67,-46.43
231,9347.338235,0.0198,13.0,9347.338235,0.0256,13.0,9347.338235,0.0223,13.0,9347.338235,0.0226,13.0,-28.99,-12.50,-13.94
232,76402.224265,0.0220,31.0,76402.224265,0.0208,31.0,76402.224265,0.0256,31.0,76402.224265,0.0252,31.0,5.37,-16.51,-14.79
233,90241.415441,0.0230,4.0,90241.415441,0.0226,4.0,90241.415441,0.0342,4.0,90241.415441,0.0304,4.0,1.82,-48.64,-32.46
234,16192.529412,0.0207,35.0,16192.529412,0.0218,35.0,16192.529412,0.0251,35.0,16192.529412,0.0236,35.0,-5.45,-21.69,-14.22
235,40897.908088,0.0233,6.0,40897.908088,0.0221,6.0,40897.908088,0.0227,6.0,40897.908088,0.0313,6.0,5.32,2.56,-34.48
236,3102.731618,0.0198,29.0,3102.731618,0.0226,29.0,3102.731618,0.0237,29.0,3102.731618,0.0247,29.0,-13.92,-19.53,-24.68
237,884.834559,0.0201,51.0,884.834559,0.0213,51.0,884.834559,0.0278,51.0,884.834559,0.0247,51.0,-5.65,-38.13,-22.95
238,120548.794118,0.0202,4.0,120548.794118,0.0214,4.0,120548.794118,0.0268,4.0,120548.794118,0.0307,4.0,-5.64,-32.29,-51.62
239,3947.084559,0.0219,45.0,3947.084559,0.0202,45.0,3947.084559,0.0221,45.0,3947.084559,0.0244,45.0,7.79,-1.03,-11.15
240,2603.312500,0.0210,30.0,2603.312500,0.0222,30.0,2603.312500,0.0296,30.0,2603.312500,0.0218,30.0,-5.68,-41.00,-4.14
241,29002.058824,0.0211,20.0,29002.058824,0.0205,20.0,29002.058824,0.0239,20.0,29002.058824,0.0231,20.0,3.18,-13.32,-9.32
